Gene1,Gene2,EdgeWeight
EZH2,SLC6A15,0.111800954
SNAI2,STIM2,0.11177714
LEF1,NHLH2,0.11170685
SMAD2,TRIM25,0.11169958
LEF1,COBLL1,0.11165336
FOXH1,GATA2,0.111648194
GATA6,APLNR,0.11164141
TEAD4,DACH1,0.11163673
TCF4,APOBEC3C,0.11162708
STAT3,POLR1B,0.11158992
GATA3,TRIP6,0.11157197
AR,MEIS2,0.11155893
SOX17,DACH1,0.11154692
NANOG,RXRG,0.11153601
SOX2,APEX1,0.111526206
TEAD4,POLR1B,0.11150524
SOX2,NFKBIA,0.11146407
MLLT3,TFPI,0.1114568
MLLT3,ERCC-00096,0.11143556
MLLT3,PDCD11,0.11138575
TFAP2A,EEF1A1,0.11137226
POU5F1,TBX3,0.11137042
MXI1,WWP1,0.11131098
AR,EPCAM,0.11130642
TFAP2A,CIITA,0.11125427
DNMT3B,AGPAT5,0.11123435
EZH2,BCL11B,0.11122215
TFAP2A,ITGA5,0.111157686
FOXH1,XRN1,0.11109452
BCL11A,ZNF165,0.1110031
MXI1,MCCC1,0.11099893
JUND,MCM7,0.11088335
SOX17,ST3GAL6,0.110849336
POU5F1,PMP22,0.11084827
SNAI2,ANKRD26,0.1108286
GATA4,SEMA3A,0.11077911
MXI1,GCM1,0.11076209
STAT3,RAI1,0.11075008
SNAI2,POU5F1,0.11074865
EOMES,CAMK2D,0.11072606
SNAI2,ERCC-00171,0.11054712
SOX2,RBMX,0.110523656
ZFP42,PDGFRA,0.11048132
NANOG,CAMK2D,0.11047793
ZFP42,SALL2,0.11047745
TCF4,ZBTB10,0.110457435
TP53,FBN1,0.110349715
TEAD4,SMAD2,0.11030697
JUND,POU3F1,0.11027668
POU5F1,GYPB,0.11019051
FOXP1,HOPX,0.110165715
PRDM1,CPE,0.11013843
GATA3,TFB2M,0.11009163
GATA3,RNF138,0.11008635
EGR1,PTMA,0.11003271
PRDM1,LIPG,0.11003253
NANOG,SNAPC4,0.10995984
AR,ZDHHC21,0.10990596
TCF4,ATP2B4,0.10988456
EGR1,ERBB4,0.10984791
POU5F1,SP110,0.1098045
FOXP1,SSB,0.109789476
GATA2,CCND1,0.109783195
NANOG,YBX1,0.10977021
POU5F1,GLIPR2,0.10972911
TRIM28,AEBP1,0.1097054
KLF5,DCLK1,0.10969816
SOX17,RAD51,0.10963435
TEAD4,ZNF516,0.10961559
BCL11A,UTP18,0.1096099
PRDM1,BAG3,0.10958105
MXI1,CUL1,0.10956296
PRDM1,DPYSL3,0.10951945
NANOG,SRSF3,0.1094759
HAND2,POLR2D,0.109453835
AR,FLI1,0.10941824
STAT3,PALLD,0.109405726
NANOG,RFC3,0.1093979
TEAD4,RAX2,0.109375834
AR,SOX7,0.10925046
TCF4,REL,0.10924901
SOX2,ARNT2,0.10917064
GATA4,LEPREL1,0.10916851
HAND2,PCDH10,0.10916424
TRIM28,U2AF1,0.10915327
TEAD4,ERCC-00044,0.10914546
SOX2,DKK4,0.109139845
MXI1,ALS2CR8,0.10912739
EGR1,FBXO5,0.10910051
EZH2,ERCC-00003,0.10907801
ZFP42,STC1,0.10905999
BCL11A,WDR12,0.10905936
NANOG,ST8SIA4,0.10903406
BCL11A,CA14,0.10901292
ZFP42,MCM3,0.10900393
TEAD4,HLA-DRB1,0.10895382
KLF5,ERCC-00092,0.108946964
HAND2,PDE3B,0.10894356
KLF5,DDAH1,0.10893565
DNMT3B,POLR3E,0.108795136
TP53,HEG1,0.108749166
JUND,CDCA7L,0.10872915
ZFP42,ZFPM2,0.108689964
HAND2,GTF2H2,0.10868606
GATA6,WNT5A,0.108630866
GATA2,SLITRK2,0.108626075
PRDM1,COL5A2,0.108578965
PRDM1,ERBB4,0.10853803
MXI1,SNAPC4,0.108494185
TCF4,KIF21A,0.10847559
BCL11A,ZIC2,0.10845965
LEF1,CALB1,0.108399555
GATA6,RBFOX2,0.10835646
FOXH1,NONO,0.10832479
ZFP42,MYBL2,0.10830134
EZH2,CEBPZ,0.108294815
TRIM28,PLSCR4,0.10827225
TP53,MED16,0.10826084
AR,IL6ST,0.10823204
MXI1,ANGPT2,0.10820365
POU5F1,EZH2,0.108167954
MLLT3,DECR1,0.1081533
ZFP42,SPIB,0.10814217
POU5F1,SNAPC3,0.10809365
GATA2,PCDH10,0.10808945
POU5F1,FXR1,0.108067945
NANOG,HLA-DQB1,0.10805738
BCL11A,PTGR1,0.10798429
KLF5,GCM1,0.107939124
SMAD2,FST,0.10790672
GATA3,ZNF280B,0.107899144
SNAI2,DNMT3A,0.1077955
FOXH1,CER1,0.10778139
TCF4,ANXA3,0.10773885
GATA4,CLDN10,0.10773498
LEF1,MAPK10,0.10771698
FOXP1,THY1,0.1076996
GATA3,HOMER1,0.107662834
TCF4,KAL1,0.10765241
GATA2,PRTG,0.10759315
SOX17,FBN1,0.10753152
TFAP2A,HLA-DRB1,0.10746019
FOXH1,SEMA3E,0.10744148
SOX17,TRIP11,0.107392274
PRDM1,ERCC-00130,0.1073426
EZH2,TFE3,0.10728231
MXI1,MED16,0.107241966
BCL11A,INSIG2,0.10722113
EGR1,ANKRD26,0.10721518
GATA3,HNRNPAB,0.10716498
TRIM28,KIF15,0.10708345
MLLT3,ERCC-00003,0.10706435
CTNNB1,TGFBR3,0.10704309
DNMT3B,LMO3,0.10703708
EZH2,PFKFB2,0.10699978
EGR1,GYPB,0.10697949
DNMT3B,DPH2,0.10688255
HAND2,IGDCC4,0.106882334
EZH2,POLR1A,0.10687357
SNAI2,JUND,0.10682914
SMAD2,BUB1B,0.10681718
FOXP1,MYBBP1A,0.10678665
FOXH1,TCF7L1,0.10674443
ZFP42,WDR35,0.10674358
NANOG,GABRB2,0.10672258
GATA4,NEDD4,0.1067034
BCL11A,COLEC12,0.10663699
KLF5,KLHL6,0.106555045
GATA2,WDHD1,0.10651174
TRIM28,LZTS1,0.106493235
HAND2,PIP4K2A,0.10648438
EGR1,DCAF6,0.10644427
GATA2,PTMA,0.10642014
AR,PTGR1,0.10639976
TCF4,LGR5,0.10637325
ZFP42,MAFG,0.106369436
SOX2,SAMD3,0.10636413
FOXP1,SIRT1,0.106357396
TFAP2A,ZEB2,0.106327064
NANOG,PRICKLE1,0.10631913
BCL11A,RBBP8,0.106254674
AR,FUS,0.106239855
FOXH1,SHOX,0.1062149
DNMT3B,MITF,0.10613869
SMAD2,NFYB,0.10612521
KLF5,ISL1,0.10611452
NANOG,TMEM64,0.10609344
ZFP42,MRPS30,0.10608832
PRDM1,SMARCD1,0.1060749
SNAI2,SERPINE2,0.10604097
DNMT3B,RGPD2,0.10603795
TRIM28,LRAT,0.10599334
GATA4,DEDD2,0.10598272
EGR1,SUPT16H,0.10595575
EZH2,DTL,0.10593655
NANOG,GRHL2,0.105931446
GATA6,COL1A2,0.10590784
OTX2,SSFA2,0.1058774
TFAP2A,PSIP1,0.10587531
DNMT3B,LPGAT1,0.10584585
LEF1,MYBL2,0.105831206
FOXH1,DAAM1,0.10579395
GATA2,KLHL24,0.10577729
MLLT3,CCNE2,0.10576576
FOXP1,ANKRD6,0.105751574
ZFP42,JPH1,0.10574346
PRDM1,PRDM14,0.10572692
TEAD4,FN1,0.10566591
MLLT3,KIAA1109,0.10560161
MLLT3,EGR1,0.10560139
SOX2,PIK3R5,0.10559505
DNMT3B,ABLIM1,0.10558301
MLLT3,WWTR1,0.105544776
TEAD4,ALS2CR8,0.10554045
EOMES,GLIPR2,0.10547509
NANOG,WDR3,0.10541432
PRDM1,TNC,0.10536473
SNAI2,AIP,0.105331376
EOMES,MFAP4,0.10532579
JUND,GINS2,0.10531411
SMAD2,SLC35A3,0.10529859
MXI1,FREM1,0.105291426
TCF4,AIP,0.10529047
SMAD2,SPPL2A,0.10526423
AR,ELMOD2,0.10526378
TP53,TFPI,0.105257206
SMAD2,KDM6A,0.10523571
GATA6,PRMT6,0.10522573
NANOG,HLA-DRB1,0.105187945
DNMT3B,RRN3,0.10518703
JUND,POLR2I,0.10517719
GATA3,APC,0.10515083
LEF1,ITGA6,0.105134085
EGR1,KRCC1,0.10512163
GATA4,ZNF83,0.10511099
TCF4,POLR2I,0.10508852
TRIM28,TLE3,0.105054855
AR,BCAR3,0.10504939
NANOG,PGR,0.1049873
GATA2,TRUB1,0.10498473
EOMES,GDAP1,0.104926944
SOX2,POU5F1,0.10491765
HAND2,PRMT6,0.10491575
JUND,EMB,0.10487652
MXI1,SERHL2,0.104859926
GATA4,SPPL2A,0.1048348
SOX17,LRRCC1,0.10478074
MLLT3,SOX7,0.10474629
SNAI2,FLRT3,0.10461007
ZFP42,DECR1,0.104588404
SOX2,MEX3C,0.10454781
EOMES,ZBTB10,0.104539394
LEF1,RAD51,0.10450277
SMAD2,RARG,0.10449916
TP53,SATB2,0.10446726
SOX17,ZBTB38,0.104438245
BCL11A,JUND,0.104429975
GATA6,STC1,0.104425505
MLLT3,NR0B1,0.10441988
TRIM28,STK3,0.1044072
POU5F1,SOX13,0.1043434
SOX17,POLR1B,0.10434158
POU5F1,IGDCC4,0.10433653
TRIM28,MMP16,0.10431583
AR,SRSF10,0.10429638
GATA3,ANKRD28,0.104294166
FOXH1,AEBP1,0.1042923
HAND2,CAP2,0.104288384
SOX17,ST8SIA4,0.10428247
ZFP42,ISL1,0.10427055
JUND,NR2C1,0.10423383
GATA4,ANKRD28,0.104232475
DNMT3B,SPPL2A,0.10417696
GATA3,ZNF165,0.10416996
KLF5,GATA6,0.10415411
MXI1,ZNF516,0.10411744
SOX17,RAB31,0.10411352
EZH2,MIA3,0.10409939
EGR1,AFF1,0.1040571
AR,GYPB,0.10405251
NANOG,ZNF219,0.10404611
SMAD2,POU5F1,0.104038924
SOX2,ST8SIA1,0.103924714
BCL11A,DECR1,0.10387955
DNMT3B,KDELR3,0.10387106
NANOG,GTF2H2D,0.103868455
AR,ZEB2,0.103852816
GATA3,CDC7,0.103838265
EZH2,HRSP12,0.10381138
SOX17,GYPE,0.10381128
SOX2,ALYREF,0.103810586
TFAP2A,RFPL2,0.10379022
BCL11A,POLR2I,0.103767075
EZH2,HOMER1,0.10374606
SMAD2,TRIM22,0.10367668
AR,CTBP1,0.103645295
NANOG,SATB2,0.10363625
NANOG,CD48,0.10363503
TEAD4,KLF5,0.10363451
GATA2,LECT1,0.1035915
JUND,GATA3,0.10358931
POU5F1,GPC3,0.10358573
CTNNB1,CXXC1,0.103562266
EOMES,CA2,0.10356034
CTNNB1,ST8SIA4,0.10349858
SMAD2,MYCN,0.10340875
TFAP2A,KLHL6,0.1034083
MXI1,SEMA3E,0.10339446
TP53,MCM5,0.10338196
GATA3,RIOK1,0.1033564
SOX2,SOS2,0.10330594
TEAD4,PCDH7,0.10329237
GATA3,MANEA,0.10328117
OTX2,SHOX2,0.10326801
JUND,TRAPPC8,0.1032559
DNMT3B,DAAM1,0.10325146
MXI1,GABRB2,0.10324176
TEAD4,NRP2,0.10323936
AR,RUVBL1,0.10319504
TP53,SOX7,0.10318619
SOX2,DSCC1,0.10307946
SOX17,MMP16,0.103077106
LEF1,STAT3,0.10307505
BCL11A,ZBTB2,0.103047214
SMAD2,TMEM47,0.103011675
NANOG,PATZ1,0.10289331
GATA4,HIF3A,0.10288727
KLF5,SNX14,0.102877274
HAND2,POU5F1,0.10280817
PRDM1,NR0B1,0.10276085
FOXP1,KHDRBS2,0.10273749
GATA2,NIPSNAP3A,0.10273287
POU5F1,ARID5B,0.10270101
EZH2,DNMT1,0.10269182
AR,BMP4,0.102588445
SOX2,FBXO28,0.102580994
GATA4,TFPI,0.10256636
POU5F1,HOPX,0.10255152
DNMT3B,SULF2,0.10254787
EGR1,ZNF471,0.10253664
TEAD4,BAMBI,0.10251072
GATA4,TBX20,0.10249306
TP53,ZNF83,0.102475286
STAT3,CBX3,0.102450535
NANOG,FLRT3,0.10244514
POU5F1,ERBB4,0.1024438
EOMES,PRIM1,0.10243038
DNMT3B,ERCC-00130,0.1023485
BCL11A,FREM1,0.102340564
MXI1,SIPA1L2,0.102325395
AR,MLLT3,0.10230707
SOX2,ERCC-00074,0.102268815
SOX2,MATN3,0.10220066
BCL11A,SMAD6,0.10218199
SMAD2,EGF,0.10215902
TP53,CCND1,0.10215141
EGR1,MLLT3,0.102130905
TEAD4,MLL3,0.10208707
GATA4,TRUB1,0.10207473
EZH2,NIPSNAP3A,0.10207466
HAND2,ERBB4,0.102042995
GATA3,ANKRD1,0.10202968
FOXH1,PSMD9,0.10202239
TFAP2A,PCDH7,0.10200314
GATA2,APC,0.10192527
FOXH1,DECR1,0.1019167
EOMES,LEPREL1,0.10188788
SMAD2,ASB9,0.10185723
TEAD4,SOX2,0.10185185
EOMES,SOX2,0.101829916
ZFP42,DCAF6,0.10177011
TCF4,ESPL1,0.101748444
OTX2,VAMP7,0.101691745
JUND,ERCC-00165,0.10165335
EOMES,WDFY1,0.10163476
ZFP42,CDH11,0.10156281
DNMT3B,CBR1,0.10155533
SMAD2,RXRG,0.10154285
FOXP1,B4GALT4,0.10152829
FOXP1,CD9,0.10152808
KLF5,APBB2,0.10151738
MLLT3,ETV3,0.10145831
MLLT3,FAM188A,0.10142654
NANOG,NFIA,0.101407826
GATA3,SNRPD1,0.1013785
OTX2,SNAI2,0.10135144
TCF4,SHOX,0.1013065
ZFP42,APEX1,0.10126859
GATA3,AES,0.101208225
SMAD2,MMP16,0.101201005
EOMES,MRPL1,0.10117605
FOXH1,RFXANK,0.10116953
FOXH1,BMP2,0.10116687
DNMT3B,BARX2,0.10116632
AR,HDAC9,0.101127364
AR,HESX1,0.101076216
DNMT3B,CUX1,0.10106536
BCL11A,PLSCR4,0.10104656
TRIM28,MCCC1,0.101021625
TEAD4,FOXD3,0.10095203
AR,CDK6,0.100946754
TCF4,INSIG2,0.10092422
HAND2,HAPLN1,0.10086934
POU5F1,RBBP8,0.100815356
EGR1,PITX2,0.10078476
EZH2,KLHL28,0.100780636
TP53,RBBP8,0.100714654
TCF4,ERCC-00046,0.100657836
POU5F1,FLRT3,0.10065539
KLF5,MTERF,0.10061975
GATA6,CASD1,0.100594476
KLF5,TADA1,0.1005725
KLF5,LGALSL,0.100534886
EZH2,E2F4,0.100511774
TRIM28,NONO,0.100500405
PRDM1,ATF6,0.10048336
PRDM1,SPPL2A,0.100472055
MXI1,ERCC-00053,0.10043688
TFAP2A,GABRB2,0.10040989
TEAD4,DSCC1,0.10034031
SOX2,NONO,0.100336775
TRIM28,APOBEC3C,0.10024911
DNMT3B,RBPJ,0.10022778
GATA6,MEPE,0.10022482
SOX17,GTF2H2,0.10022401
TP53,PHB2,0.100218564
LEF1,ANKMY2,0.10019924
TEAD4,PGR,0.10010716
SOX17,SFRP2,0.100100264
GATA4,ZBTB2,0.100088984
SOX17,ZHX3,0.100088954
EZH2,LMO3,0.10001836
NANOG,MLLT6,0.09998745
TCF4,ERCC-00130,0.09991833
DNMT3B,HOXB3,0.09991589
GATA3,NFE2L3,0.09990475
POU5F1,GAD1,0.09987348
AR,GPC6,0.09985992
GATA6,CUX1,0.09985583
ZFP42,TMEM38B,0.099830024
GATA2,PPARA,0.09982057
MLLT3,POLR2D,0.09981144
BCL11A,ALYREF,0.09972129
OTX2,ERCC-00165,0.099680394
EZH2,MRPS35,0.099636056
GATA3,SPIB,0.09962139
MXI1,BHLHE40,0.0996092
EZH2,NDUFC2-KCTD14,0.09953839
FOXH1,GATA3,0.099533305
BCL11A,XRN1,0.09952624
TCF4,CCKBR,0.09950268
SMAD2,TCOF1,0.09950188
BCL11A,ASB9,0.09946453
NANOG,RAVER2,0.099458665
TEAD4,SLC36A4,0.09945512
MLLT3,ARFGAP3,0.09944256
OTX2,MRS2,0.099394426
TP53,HIST1H1B,0.09939049
TEAD4,ITGA6,0.09937893
BCL11A,LMX1B,0.09932317
ZFP42,RGS5,0.09925023
EZH2,ARID5B,0.09923978
SOX17,SMARCC1,0.09923916
NANOG,GYPB,0.09923907
TP53,ID1,0.09913348
ZFP42,DEK,0.09911898
DNMT3B,VPS54,0.09907076
AR,CDCA8,0.09892477
BCL11A,HELZ,0.09890595
TP53,DTL,0.09882638
TFAP2A,HAPLN1,0.098810084
BCL11A,CTBP1,0.09880661
GATA4,ERCC-00145,0.098763645
ZFP42,RNF138,0.09873541
EZH2,BNIP3,0.098720215
MLLT3,SERTAD2,0.09866713
JUND,ISL1,0.09860408
SMAD2,TEAD1,0.09859749
TEAD4,B4GALT4,0.09851974
EGR1,FUS,0.09851171
GATA6,AK4,0.098505534
POU5F1,TMEM131,0.098496675
GATA4,RBBP8,0.0984952
PRDM1,SOX7,0.09848313
TEAD4,C11ORF46,0.09847523
JUND,SP100,0.09845832
GATA2,DPH2,0.09845584
MXI1,ZNF107,0.098454736
SOX17,UHRF1,0.098423354
SOX17,WLS,0.098347634
GATA4,PLK1,0.09833667
GATA2,STC1,0.09832012
EZH2,HOPX,0.098310634
GATA6,ERCC-00112,0.09830594
PRDM1,FASTKD3,0.098266795
JUND,ERCC-00002,0.09825217
GATA6,PRIC285,0.098208085
BCL11A,SPPL2A,0.09819506
EOMES,TBX20,0.098160826
SOX17,MAML3,0.09812078
JUND,GDAP1,0.0981136
GATA2,SERTAD2,0.09810546
PRDM1,ANKRD28,0.09810142
SMAD2,COL5A2,0.09808731
OTX2,ROR2,0.09804812
SOX17,MCM3,0.09803698
TP53,MCM3,0.09803383
EZH2,TNFRSF11B,0.09800076
HAND2,POLB,0.09797497
TRIM28,ERCC-00003,0.09797463
SMAD2,KRCC1,0.0979745
HAND2,VHL,0.09790598
CTNNB1,PRSS23,0.097879946
HAND2,COL5A1,0.09784004
SMAD2,EGR1,0.09782116
EZH2,CDH11,0.0978128
FOXH1,RAVER2,0.097780615
SOX2,RAD51AP1,0.09776932
NANOG,ERCC-00043,0.09776523
BCL11A,MCM2,0.097645484
EGR1,NHLH2,0.0976035
SMAD2,STK3,0.097602315
DNMT3B,RAVER2,0.097593576
GATA2,CASD1,0.09755802
EOMES,SLA2,0.0975324
NANOG,PIP4K2A,0.09750977
SOX17,ZRANB2,0.09750089
MXI1,SNAI1,0.09748058
NANOG,ALCAM,0.09745239
DNMT3B,DUSP4,0.09738502
MLLT3,TNC,0.09730558
HAND2,PFKFB2,0.0973032
AR,NANOG,0.09729597
GATA6,ZNF518B,0.09728731
MXI1,LIMD1,0.09725058
FOXH1,ARL4D,0.09722431
JUND,ERCC-00060,0.09722218
LEF1,RBBP4,0.09722075
MLLT3,WDR5,0.09721162
EZH2,HLA-DRB1,0.0971841
ZFP42,BMP2,0.09716551
DNMT3B,S1PR3,0.097162575
MXI1,DRAM2,0.09716015
MXI1,IGDCC4,0.09715249
NANOG,PDLIM3,0.09713832
TP53,GAD1,0.097124614
BCL11A,ACTC1,0.09707979
SOX17,RMI1,0.097071886
EZH2,MME,0.097013414
GATA3,RAVER2,0.09697075
TRIM28,DEK,0.09693528
BCL11A,TEX10,0.09693101
EGR1,ARID3B,0.096919715
SNAI2,TMEM64,0.09691338
BCL11A,CPE,0.09690935
SMAD2,WWTR1,0.09688683
NANOG,SLA2,0.09685656
SNAI2,RRN3,0.09684576
JUND,SRSF6,0.09674979
GATA2,DNMT3B,0.09667851
TFAP2A,SHOX2,0.096644945
ZFP42,TMF1,0.09659603
GATA6,CEP290,0.096587434
TFAP2A,ANKRD26,0.0965662
LEF1,CRX,0.0965605
SOX2,KAT7,0.096515514
BCL11A,NUSAP1,0.09650532
TP53,NUAK1,0.096486166
TRIM28,GATA3,0.096471354
SMAD2,GLDC,0.096452825
TP53,KHSRP,0.09644288
OTX2,FOXK1,0.09641539
HAND2,TRPS1,0.096409924
EOMES,GAD1,0.09640965
SMAD2,SPIB,0.09640545
SNAI2,PMAIP1,0.09639983
EGR1,NLGN4X,0.0963926
SMAD2,NXT2,0.09635845
EOMES,ZNF160,0.09632111
HAND2,RFC3,0.09630102
TEAD4,MAMLD1,0.09629307
SOX17,ZNF83,0.096251205
CTNNB1,LMX1B,0.09620269
GATA6,ERCC-00165,0.09618166
FOXH1,NTS,0.09617673
MLLT3,HPRT1,0.09614921
BCL11A,FAM117B,0.096142024
TRIM28,TMEM64,0.09613818
TRIM28,HLA-DRB1,0.09612661
SOX2,VPS13C,0.09607424
GATA2,CTBP1,0.09603296
SNAI2,CRHBP,0.09602834
ZFP42,FST,0.09599881
TEAD4,RAVER2,0.0959914
JUND,POLB,0.0959817
JUND,LEPREL1,0.09597752
SNAI2,KIF21A,0.095966294
KLF5,CLGN,0.09595561
EOMES,PIP4K2A,0.09591649
OTX2,ERCC-00112,0.095858775
MLLT3,MEPE,0.09578359
EZH2,RRAS2,0.095736705
SMAD2,ARHGAP42,0.09572703
GATA3,SFMBT1,0.09571043
DNMT3B,APOBEC3C,0.09570342
GATA3,PHF21A,0.09568775
MLLT3,MDM4,0.095671855
EZH2,RIOK1,0.09567
MXI1,ERCC-00046,0.09564923
TEAD4,SOX7,0.095600456
BCL11A,SKA3,0.09558891
NANOG,SLITRK2,0.09558548
STAT3,PIK3R5,0.095579445
SNAI2,ERCC-00003,0.09557325
TFAP2A,LECT1,0.095572695
ZFP42,DEDD2,0.09555133
TP53,ARID5B,0.09542869
JUND,DMBX1,0.09542383
FOXH1,EMB,0.0953995
ZFP42,SP110,0.09533864
GATA2,KDM6A,0.09522695
GATA6,AR,0.095143355
FOXH1,DDAH1,0.09511145
GATA2,PRIM1,0.0951033
MXI1,SLCO2A1,0.09509435
HAND2,NUAK1,0.095020086
HAND2,MCM7,0.09501399
GATA3,DCAF6,0.09500931
LEF1,ECI2,0.094984666
FOXH1,JMJD1C,0.0949727
TP53,NR3C1,0.094925575
EGR1,CYP26A1,0.09491392
LEF1,EEF1A1,0.09487948
GATA2,SIPA1L2,0.09486843
JUND,AK4,0.09485315
SOX2,SOX3,0.094791025
EZH2,EGR1,0.09476868
POU5F1,PMAIP1,0.0947608
EZH2,ZNF589,0.09472524
TCF4,POLR2D,0.09467965
SNAI2,CCDC82,0.09467789
STAT3,THAP9,0.09462947
SMAD2,PHB2,0.0946288
PRDM1,SALL3,0.09459535
SNAI2,EGR1,0.09455319
TP53,HAS2,0.09454568
POU5F1,GTF2H2D,0.09454057
TRIM28,TIMP3,0.094524704
DNMT3B,ANKRD26,0.09449408
GATA2,PLAGL2,0.094472736
TEAD4,GRHL1,0.094383106
NANOG,RAX2,0.09435853
SOX17,ROR2,0.09432437
HAND2,ERCC-00113,0.09432234
LEF1,AR,0.09428765
TEAD4,AKAP2,0.09424806
TP53,C11ORF46,0.09424101
MLLT3,REV3L,0.09421798
EGR1,ZNF398,0.09421322
AR,YAF2,0.09420687
MXI1,WWTR1,0.094199
NANOG,BCL11A,0.09414722
LEF1,ANKRD28,0.09413885
PRDM1,ATP2B4,0.09413633
HAND2,AKAP2,0.094010055
NANOG,GATA3,0.094009355
TRIM28,ASB4,0.094009265
TEAD4,ZBTB38,0.09400296
SOX2,WDHD1,0.09399162
STAT3,PHC1,0.09396587
LEF1,CITED2,0.09395778
HAND2,GLRX,0.09392077
PRDM1,TFDP1,0.09389527
TRIM28,PRMT6,0.093894556
AR,HAND2,0.093889765
EZH2,ATP11B,0.09382324
EGR1,ZNF488,0.093775876
ZFP42,NCAM1,0.09377533
ZFP42,NONO,0.093748406
SMAD2,HDAC9,0.09371893
MLLT3,PIK3R5,0.09369151
SOX17,MEIS2,0.09366319
ZFP42,ERCC-00130,0.093659185
HAND2,AEBP1,0.093629524
OTX2,ERCC-00060,0.0936241
LEF1,SNAPC3,0.09362265
FOXH1,CCND1,0.09361644
BCL11A,CD200,0.09360857
GATA3,FASTKD3,0.09359446
SOX2,OTUD6B,0.09358917
EGR1,CDC7,0.0935827
GATA6,PFKFB2,0.09355755
SOX17,TGFB1,0.09347812
OTX2,CLDN11,0.09347059
GATA6,GLIPR2,0.09346056
EZH2,EGF,0.093440466
SOX2,FAM135A,0.09339358
TFAP2A,LRAT,0.09338845
HAND2,RBM14,0.09338597
GATA6,ZNF764,0.09337115
EGR1,PRIM1,0.09334987
EOMES,WDR35,0.09333643
PRDM1,ERCC-00003,0.09331192
LEF1,KRCC1,0.09330416
GATA2,C3ORF14,0.09327784
OTX2,PSIP1,0.093265384
SOX2,ZNF587,0.09325537
ZFP42,PPARGC1B,0.09321581
EZH2,AFF1,0.09321579
AR,BMPER,0.09317873
GATA6,TMEM38B,0.093161404
BCL11A,ID3,0.09316006
MLLT3,SP100,0.093112305
EGR1,MAN1A1,0.09308564
AR,CCDC141,0.09307724
SMAD2,TGFBR3,0.09299949
TP53,SKIL,0.09298311
TCF4,C11ORF82,0.09297393
TCF4,ERCC-00136,0.09295073
BCL11A,MEIS1,0.09293353
MXI1,HOXB6,0.09291829
SOX2,MCC,0.0929153
EZH2,FARSB,0.09290865
PRDM1,STAT2,0.09290616
CTNNB1,ERCC-00042,0.09288545
CTNNB1,TAF1L,0.09288475
EOMES,ALYREF,0.092752695
ZFP42,TDP2,0.09271656
AR,DEDD2,0.09262267
KLF5,XRCC5,0.09260461
POU5F1,RUVBL1,0.09260339
TRIM28,TRIP13,0.09259847
SNAI2,ANKRD6,0.09259111
GATA6,HPRT1,0.092583664
PRDM1,HAND1,0.092569835
GATA3,FAM117B,0.09255559
POU5F1,MEIS2,0.092439905
EZH2,DCAF6,0.09243168
SOX2,ERCC-00046,0.09241811
GATA6,POLR2D,0.09239485
JUND,ALS2CR8,0.09238673
GATA2,CCDC81,0.09237686
SOX17,MYCN,0.09236593
PRDM1,C12ORF23,0.09234605
STAT3,TBC1D4,0.092331454
SNAI2,PPARGC1B,0.09229982
AR,JUND,0.092298284
STAT3,ZEB1,0.09227396
SOX2,SRSF2,0.092267126
SOX2,ESPL1,0.09225756
SOX2,PBX1,0.092241764
STAT3,ATRX,0.092169076
AR,UNC5D,0.092144854
TEAD4,UBTF,0.09212887
GATA4,TWIST1,0.09206267
FOXH1,ERBB4,0.09205683
STAT3,ERCC-00062,0.09203462
SOX17,KDM6A,0.09201419
TRIM28,SPP1,0.091969624
STAT3,UBTF,0.09196621
GATA6,RBMX,0.09192672
BCL11A,ISCA1,0.09189566
BCL11A,COL1A2,0.09188309
EGR1,SHOX2,0.09188211
FOXH1,THAP9,0.091874704
SOX2,E2F3,0.09187375
TCF4,DUSP4,0.09185153
FOXH1,NFKBIB,0.09184189
BCL11A,CLDN10,0.09183682
FOXP1,ITGA6,0.09179866
LEF1,TRIM28,0.09178519
DNMT3B,SNX16,0.09177053
ZFP42,RAB31,0.091755584
EZH2,CRX,0.0917515
GATA3,FAM135A,0.09171965
TFAP2A,TIPIN,0.09168397
PRDM1,PLP1,0.09168023
PRDM1,AGL,0.0916665
GATA3,ZEB2,0.09166047
MLLT3,ZNF587,0.09162446
MXI1,C3ORF14,0.09158096
TFAP2A,POLR2H,0.091547415
NANOG,IGDCC4,0.091474965
POU5F1,RPL17-C18ORF32,0.09145681
EZH2,PALLD,0.09143284
GATA6,ERCC-00095,0.091400586
STAT3,HOMER1,0.09137645
CTNNB1,PPARA,0.09132506
GATA4,SOX17,0.09131976
EZH2,NANOG,0.09129094
GATA4,NKX3-1,0.09123209
ZFP42,VASH2,0.09118433
EOMES,PHF21A,0.09117177
SOX2,FUBP1,0.09116427
JUND,TMEM38B,0.09116031
FOXH1,SOX17,0.091153935
FOXH1,ZNF160,0.09113951
FOXH1,MRPS30,0.091138005
GATA6,MME,0.09108935
TP53,STK3,0.09106739
GATA2,LEF1,0.09105614
EZH2,REV3L,0.09102438
KLF5,SLCO2A1,0.09094736
NANOG,GTF3C4,0.09093584
AR,VPS13C,0.090922505
MLLT3,RFPL2,0.09082274
PRDM1,PPAPDC1A,0.09074791
ZFP42,BAG3,0.090710446
MLLT3,SULF2,0.0906767
FOXH1,HELZ,0.0906498
SMAD2,RIN2,0.090538315
